一、乾為天,一、乾為天,
五路財神經卦解：風澤中孚宜誠信,五路財神經卦解,風澤中孚宜誠信
,,
,,
,,
六十二、雷山小過,六十二、雷山小過,
釋：小的過度。（過獨木橋之象）,釋,小的過度。（過獨木橋之象）
初六：應知收斂，不可好高騖遠。,初六,應知收斂，不可好高騖遠。
六二：在消極方面，稍為過度，雖然不能發揮積極的功用，但仍有益。,六二,在消極方面，稍為過度，雖然不能發揮積極的功用，但仍有益。
九三：謹慎不過分，就可以防止，如困屈從，就有被殺害危險，故應當明辨。,九三,謹慎不過分，就可以防止，如困屈從，就有被殺害危險，故應當明辨。
九四：剛與柔、過與斂，必須因應變通，不可固執。,九四,剛與柔、過與斂，必須因應變通，不可固執。
九五：過度強求，不足以成大事。,九五,過度強求，不足以成大事。
上六：極端過度，必然招致災禍。,上六,極端過度，必然招致災禍。
,,
五路財神經卦解：雷山小過慎己修,五路財神經卦解,雷山小過慎己修
,,
,,
,,
六十三、水火既濟,六十三、水火既濟,
釋：完成。（金榜題名之象）,釋,完成。（金榜題名之象）
初九：當成功之後，更應當慎重，想到一切可能的後果，預先適度節制，也許會有一時的損失，但結果將更圓滿。,初九,當成功之後，更應當慎重，想到一切可能的後果，預先適度節制，也許會有一時的損失，但結果將更圓滿。
六二：成功之後，適當節制，也許會有一時的損失，但結果將更圓滿。,六二,成功之後，適當節制，也許會有一時的損失，但結果將更圓滿。
九三：強調有功的小人絕對不可以使其在政治上形成勢力。,九三,強調有功的小人絕對不可以使其在政治上形成勢力。
六四：成功不可自滿，更應當戒慎恐懼，時刻戒備。,六四,成功不可自滿，更應當戒慎恐懼，時刻戒備。
九五：成功不可自滿，應當一本初衷，繼續發努力，才能保全既有的成就。,九五,成功不可自滿，應當一本初衷，繼續發努力，才能保全既有的成就。
上六：不可被成功沖昏了頭，盲目衝進，招致危險。,上六,不可被成功沖昏了頭，盲目衝進，招致危險。
,,
五路財神經卦解：水火既濟修大智,五路財神經卦解,水火既濟修大智
,,
,,
,,
六十四、火水未濟,六十四、火水未濟,
釋：未完成。（憂中望喜之象）,釋,未完成。（憂中望喜之象）
初六：在成功最後的關鍵時刻，更應當量力，不可行動過當。,初六,在成功最後的關鍵時刻，更應當量力，不可行動過當。
九二：在成功的最後關鍵時刻，自我節制的重要。,九二,在成功的最後關鍵時刻，自我節制的重要。
六三：在成功的最後關鍵時刻，應當慎重的斷然的冒險。,六三,在成功的最後關鍵時刻，應當慎重的斷然的冒險。
九四：在成功的最後關鍵時刻，必須堅持，奮發努力。,九四,在成功的最後關鍵時刻，必須堅持，奮發努力。
六五：在成功的最後關鍵時刻，更應當明智、中庸、誠信、謙虛、以號召賢能，鞏固團結，而終底於成。,六五,在成功的最後關鍵時刻，更應當明智、中庸、誠信、謙虛、以號召賢能，鞏固團結，而終底於成。
上九：應有盡人事，聽天命，成功不必在我的胸襟。,上九,應有盡人事，聽天命，成功不必在我的胸襟。
,,
五路財神經卦解：火水未濟待時機,五路財神經卦解,火水未濟待時機
,,
